Data,Evento,Tipo,Titolo
2023-09-22,,,
2023-09-23,,,
2023-09-29,,,
2023-09-30,,,
2023-10-06,,,
2023-10-07,"Torneo Blitz 3'+2""",Torneo,"Torneo #1 - Blitz 3'+2"""
2023-10-13,,,
2023-10-14,1^ Tappa Semilampo,Torneo,Torneo #2 - Semilampo 15'
2023-10-20,,,
2023-10-21,2^ Tappa Semilampo,,
2023-10-27,,,
2023-10-28,,,
2023-11-03,,,
2023-11-04,Corso di Scacchi,Lezione,Scuola di Scacchi
2023-11-10,,,
2023-11-11,1° Turno Rapid 25',Torneo,Torneo #3 - Rapid 25'
2023-11-17,,,
2023-11-18,2° Turno Rapid 25',,
2023-11-24,,,
2023-11-25,,,
2023-12-01,,,
2023-12-02,Corso di Scacchi,Lezione,Scuola di Scacchi
2023-12-08,,,
2023-12-09,3° Turno Rapid 25',,
2023-12-15,,,
2023-12-16,4° Turno Rapid 25',,
-,,,
2023-12-22,,,
2023-12-23,Torneo Blitz 5',Torneo,Torneo #4 - Blitz 5'
2023-12-29,,,
2023-12-30,5° Turno Rapid 25',,
2024-01-05,,,
2024-01-06,6° Turno Rapid 25',,
2024-01-12,,,
2024-01-13,7° Turno Rapid 25',,
2024-01-19,,,
2024-01-20,,,
2024-01-26,,,
2024-01-27,"Torneo Blitz 3'+2""",Torneo,"Torneo #5 - Blitz 3'+2"""
2024-02-02,,,
2024-02-03,1° Turno Rapid 45',Torneo,Torneo #6 - Rapid 45'
2024-02-09,,,
2024-02-10,Corso di Scacchi,Lezione,Scuola di Scacchi
2024-02-16,,,
2024-02-17,2° Turno Rapid 45',,Torneo #6 - Rapid 45'
2024-02-23,,,
2024-02-24,,,
2024-03-01,,,
2024-03-02,3° Turno Rapid 45',,Torneo #6 - Rapid 45'
2024-03-08,,,
2024-03-09,Corso di Scacchi,Lezione,Scuola di Scacchi
2024-03-15,,,
2024-03-16,4° Turno Rapid 45',,
-,,,
2024-03-22,,,
2024-03-23,Torneo #7 Blitz 5',Torneo,Torneo #7 - Blitz 5'
2024-03-29,,,
2024-03-30,Corso di Scacchi,Lezione,Scuola di Scacchi
2024-04-05,,,
2024-04-06,5° Turno Rapid 45',,
2024-04-12,,,
2024-04-13,,,
2024-04-19,,,
2024-04-20,6° Turno Rapid 45',,
2024-04-26,,,
2024-04-27,Corso di Scacchi,Lezione,Scuola di Scacchi
2024-05-03,,,
2024-05-04,7° Turno Rapid 45',,
2024-05-10,,,
2024-05-11,,,
2024-05-17,,,
2024-05-18,Corso di Scacchi,Lezione,Scuola di Scacchi
2024-05-24,,,
2024-05-25,"Torneo Blitz 3'+2""",Torneo,"Torneo #8 - Blitz 3'+2"""
2024-05-31,,,
2024-06-01,,,
2024-06-07,,,
2024-06-08,,,
2024-06-14,,,
2024-06-15,,,
-,,,